rok,doswiadczenie,typ umowy,wartosc
2024,senior,uop,12032
2024,senior,zlecenie/b2b,26249
2024,junior,uop,5808
2024,junior,zlecenie/b2b,6648
2024,mid,uop,8514
2024,mid,zlecenie/b2b,10276
2023,senior,uop,11741
2023,senior,zlecenie/b2b,25171
2023,junior,uop,5493
2023,junior,zlecenie/b2b,5631
2023,mid,uop,8155
2023,mid,zlecenie/b2b,10609
2022,senior,uop,10450
2022,senior,zlecenie/b2b,21114
2022,junior,uop,4853
2022,junior,zlecenie/b2b,4469
2022,mid,uop,7325
2022,mid,zlecenie/b2b,8381
2021,senior,uop,9829
2021,senior,zlecenie/b2b,18429
2021,junior,uop,4265
2021,junior,zlecenie/b2b,3811
2021,mid,uop,6328
2021,mid,zlecenie/b2b,6264
2020,senior,uop,9595
2020,senior,zlecenie/b2b,15110
2020,junior,uop,4210
2020,junior,zlecenie/b2b,3798
2020,mid,uop,6232
2020,mid,zlecenie/b2b,5591